음식점,위치(도로명),음식분류,술집,음식종류(사용 X),포장/배달전문,국물유무,URL
더코네,서울 동작구 상도로61길 23 2층,분식,0,"돈가스, 즉석떡볶이",,,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNDA5MDVfMjcz%2FMDAxNzI1NTE3MDYyMjI3.JTUTTfj-dVgvf4Z_qdEwMwvkop9NtMKKa_cIQWBq3I0g.pESfNWB_H3XUpKF7dlaamG4JJrB69ixy-2qF7CGsonUg.JPEG%2FKakaoTalk_20240905_140546845_04.jpg
써브웨이 숭실대점,서울 동작구 사당로 10,패스트푸드,0,샌드위치/토스트,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200103_82%2F1578043664049aVIC6_JPEG%2FoSo1QnUl87teoesK_lCcVLN0.jpg
블루힐,서울 동작구 사당로 14 지하1층,술집,"1,2,4","과일소주, 칠면조구이",,,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNTAxMTZfMjgg%2FMDAxNzM3MDAyOTg1MjI1.9li1aIG3-MmKvwcVdOzMF6RK3gqvovtj-7kwwzdg5i4g.lFrOz0NeZv5fjlI_U94xuRKBctOzLdfqRg5iwug8dmEg.JPEG%2F5E6521F7-7934-4BE1-A364-6CBF1B1FE225.jpg
스팅,서울 동작구 사당로 8,술집,4,"칵테일, 위스키",,,https://search.pstatic.net/common/?src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyMzAzMDFfMjUg%2FMDAxNjc3Njc1NzA0MjE0.CGUZl8uLCBvK-wDBva3CM1zP0J6f5CJTN2ZuXT5kxz8g.VdTOvOX69yQuYJqSMl6D0u_8k-jCv7YONtPXgyInCJsg.JPEG%2F0F6D2D96-B911-4BDF-9DEB-9B1141038564.jpeg%3Ftype%3Dw1500_60_sharpen
황궁,서울 동작구 사당로 36 2층,중식,0,"짜장면, 볶음밥",,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160120_86%2F1453258758335KhmJG_JPEG%2F176070518938181_0.jpeg
파라다이스,서울 동작구 사당로 38,한식,0,"비빔밥, 볶음밥",,,https://ldb-phinf.pstatic.net/20190325_192/1553503306217BNENQ_JPEG/hIysrz9Skvb0Beox6Ymid6mK.jpg
코웍비스트로 숭실대점,서울 동작구 사당로 30,한식,,닭갈비,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20160121_260%2F1453346368510tXULU_JPEG%2F176071524947400_0.jpg
취향,서울 동작구 사당로 6-1 2층,중식,0,짜장면,,,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMDEyMjlfMjIw%2FMDAxNjA5MjM1NzgxMzMy.K3_NPIPerMxlk9_ajDPv8M6VO2FDhWXTjt2iUfUjAtAg.7dQt-hbeYhQlGpgOyiaiJTKAGLUxrzASRprVFa48ku0g.JPEG.dlrltjd1211%2FIMG_8940.jpg
28청춘호프포차,서울 동작구 사당로 16,술집,"1,2","소주, 묵사발",,1,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200418_133%2F1587194948264559d6_JPEG%2FIC5VeE4kcm-ocgXRU5AlNwXI.jpg
청운음식점,서울 동작구 상도로67길 32 1층,한식,1,삼겹살,,,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyNDEyMTJfMTI5%2FMDAxNzM0MDA0MDg3MDQx._ncRnkNtu4JNiT0aPSdsELWbTAUYDEM9gsqJMciQlyMg.PqAUkSQUVMVFsN5W4yaO55qxJFSGsnaBb9GTgj7-ltMg.JPEG%2F%25BA%25ED%25B7%25CE%25B1%25D74.jpg
밀플랜비 숭실대점,서울 동작구 상도로67길 27 2층,양식,0,브리또,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200316_6%2F1584344711751Czvzz_JPEG%2F85rxLvSWa7YoQzakDsJ_T9Vq.jpg
청년다방 서울숭실대점,서울 동작구 사당로 16 1층,분식,0,떡볶이,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241104_1%2F1730706516798iiRyp_JPEG%2F%25C3%25BB%25B3%25E2%25B4%25D9%25B9%25E6_%25BA%25EA%25B7%25A3%25B5%25E5_FILM_2024_ver._30_%25C1%25A4%25BB%25E7%25B0%25A2%25C7%25FC.mp4_20241104_164928.692.jpg
찌개대학부대과,서울 동작구 상도로61길 32,한식,0,부대찌개,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20241004_68%2F1728018188697qKBpd_JPEG%2F20240904_091653.jpg
짚동가리쌩주 숭실대점,"서울 동작구 상도로61길 44 2,3층",술집,"1,2","전골, 볶음",,,https://search.pstatic.net/common/?src=http%3A%2F%2Fblogfiles.naver.net%2FMjAyMzAzMDZfMjQx%2FMDAxNjc4MDY1NjA0NTE1.9B9KjDUgTnKAlZgU-iWbzMTh223aBbq6rQ6Nfo0oXdIg.bmZjzyJ8VQa6dnlsbnxYSIWVTHdf5bUlgFNKAi28oPog.JPEG.vjinav369%2FKakaoTalk_20230224_160416810_06.jpg
지짐이 숭실대점,서울 동작구 상도로61길 48,술집,"1,2",오돌뼈,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200418_169%2F1587195021892BoAi4_JPEG%2FZkgjbVEECeSmwNjqVVd6mzvJ.jpg
지지고 숭실대점,서울 동작구 사당로 20 1층,분식,0,"철판볶음밥, 볶음면",,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200418_167%2F1587193096732WpyeB_JPEG%2FZ5ynlwGQDx5Yjr4fSHem9tD1.jpg
젠사이야,서울 동작구 상도로61길 35 금영빌딩 지하1층,일식,"1,2,5",샤브샤브,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20200418_259%2F1587198482474VhYWt_JPEG%2FoAyrRotSzfZpRqe9RCULBFUp.jpg
이삭토스트 숭실대점,서울 동작구 사당로 6-1 1층,패스트푸드,0,토스트,,,https://search.pstatic.net/common/?src=https%3A%2F%2Fldb-phinf.pstatic.net%2F20250216_218%2F1739704604361Es1gD_JPEG%2F%25BF%25A1%25B1%25D7%25B8%25B6%25BF%25E4_%25B3%25D7%25C0%25CC%25B9%25F6_1080%25A1%25BF1080.jpg
이레김밥,서울 동작구 상도로63길 15 1층,한식,0,김밥,,1,https://search.pstatic.net/common/?src=https%3A%2F%2Fpup-review-phinf.pstatic.net%2FMjAyNDExMTVfMTM3%2FMDAxNzMxNjM2MjkxOTYz.awpWKgEDElwka4_5cUkrPB-7kN7OCLVm0kFf1mE5sBsg.or91IjTHXLGuclOH5GOVdtT6lmq6rNPk5NZeRJlG_5Eg.JPEG%2F09DBDAE4-5056-4A6C-B37A-44FE02A03FDA.jpeg%3Ftype%3Dw1500_60_sharpen
